#,company,primary_market_segment,subsegment_tags,coverage_note
1,Maven Clinic,WOMENS_FAMILY_HEALTH,fertility_family_building; maternity_postpartum; menopause_midlife,Representative wide-market coverage seed; not a ranked top-100 list.
2,Midi Health,WOMENS_FAMILY_HEALTH,menopause_midlife,Representative wide-market coverage seed; not a ranked top-100 list.
3,Pomelo Care,WOMENS_FAMILY_HEALTH,maternity_postpartum; pediatrics_family,Representative wide-market coverage seed; not a ranked top-100 list.
4,Allara Health,WOMENS_FAMILY_HEALTH,pcos_hormonal,Representative wide-market coverage seed; not a ranked top-100 list.
5,Oula,WOMENS_FAMILY_HEALTH,maternity_postpartum,Representative wide-market coverage seed; not a ranked top-100 list.
6,Tia,WOMENS_FAMILY_HEALTH,womens_health,Representative wide-market coverage seed; not a ranked top-100 list.
7,Carrot Fertility,WOMENS_FAMILY_HEALTH,fertility_family_building,Representative wide-market coverage seed; not a ranked top-100 list.
8,Progyny,WOMENS_FAMILY_HEALTH,fertility_family_building,Representative wide-market coverage seed; not a ranked top-100 list.
9,Kindbody,WOMENS_FAMILY_HEALTH,fertility_family_building,Representative wide-market coverage seed; not a ranked top-100 list.
10,Flo Health,WOMENS_FAMILY_HEALTH,womens_health; cycle_tracking,Representative wide-market coverage seed; not a ranked top-100 list.
11,Noom Med,METABOLIC_NUTRITION_HEALTH,obesity_glp1; metabolic_behavior,Representative wide-market coverage seed; not a ranked top-100 list.
12,ZOE,METABOLIC_NUTRITION_HEALTH,nutrition_care; metabolic_behavior,Representative wide-market coverage seed; not a ranked top-100 list.
13,Levels,METABOLIC_NUTRITION_HEALTH,cgm_glucose_behavior,Representative wide-market coverage seed; not a ranked top-100 list.
14,Signos,METABOLIC_NUTRITION_HEALTH,cgm_glucose_behavior; obesity_glp1,Representative wide-market coverage seed; not a ranked top-100 list.
15,Omada Health,METABOLIC_NUTRITION_HEALTH,diabetes_cardiometabolic,Representative wide-market coverage seed; not a ranked top-100 list.
16,9amHealth,METABOLIC_NUTRITION_HEALTH,diabetes_cardiometabolic,Representative wide-market coverage seed; not a ranked top-100 list.
17,Foodsmart,METABOLIC_NUTRITION_HEALTH,food_as_medicine; nutrition_care,Representative wide-market coverage seed; not a ranked top-100 list.
18,Fay,METABOLIC_NUTRITION_HEALTH,nutrition_care,Representative wide-market coverage seed; not a ranked top-100 list.
19,Nourish,METABOLIC_NUTRITION_HEALTH,nutrition_care,Representative wide-market coverage seed; not a ranked top-100 list.
20,Culina Health,METABOLIC_NUTRITION_HEALTH,nutrition_care,Representative wide-market coverage seed; not a ranked top-100 list.
21,Calibrate,METABOLIC_NUTRITION_HEALTH,obesity_glp1,Representative wide-market coverage seed; not a ranked top-100 list.
22,Found,METABOLIC_NUTRITION_HEALTH,obesity_glp1,Representative wide-market coverage seed; not a ranked top-100 list.
23,Rula Health,MENTAL_BEHAVIORAL_HEALTH,therapy_psychiatry,Representative wide-market coverage seed; not a ranked top-100 list.
24,Headway,MENTAL_BEHAVIORAL_HEALTH,therapy_psychiatry,Representative wide-market coverage seed; not a ranked top-100 list.
25,Grow Therapy,MENTAL_BEHAVIORAL_HEALTH,therapy_psychiatry,Representative wide-market coverage seed; not a ranked top-100 list.
26,Lyra Health,MENTAL_BEHAVIORAL_HEALTH,therapy_psychiatry,Representative wide-market coverage seed; not a ranked top-100 list.
