company,primary_market_segment,subsegment_tags,product_model_tags,distribution_model_tags,data_input_tags,override_reason,review_status
Foodsmart,METABOLIC_NUTRITION_HEALTH,food_as_medicine; nutrition_care; obesity_glp1,CARE_NAVIGATION_SERVICE; VIRTUAL_CARE,PAYER; EMPLOYER; B2B2C,SELF_LOGGED_BEHAVIOR; CLAIMS,Exact mapping seed for failed flow test,
Cylinder Health,SPECIALTY_CONDITION_CARE,gi_digestive,VIRTUAL_CARE; CARE_NAVIGATION_SERVICE,EMPLOYER; PAYER; B2B2C,PATIENT_REPORTED; EHR_CLINICAL,Exact mapping seed for failed flow test,
Rula Health,MENTAL_BEHAVIORAL_HEALTH,therapy_psychiatry,PROVIDER_MARKETPLACE; VIRTUAL_CARE,PAYER; MARKETPLACE,PROVIDER_DOCUMENTATION; PATIENT_REPORTED,Exact mapping seed for failed flow test,
Oura,CONSUMER_HEALTH_OPTIMIZATION,sleep; fitness_performance; longevity_prevention,WEARABLE_COMPANION_APP,D2C; B2B2C,WEARABLE_BIOMETRICS,"Wearable is input/model, not market segment",
Eight Sleep,CONSUMER_HEALTH_OPTIMIZATION,sleep; fitness_performance,DEVICE_HARDWARE; WEARABLE_COMPANION_APP,D2C,ENVIRONMENTAL_HOME; DEVICE_SENSOR,Sleep category,
Whoop,CONSUMER_HEALTH_OPTIMIZATION,fitness_performance; sleep,WEARABLE_COMPANION_APP,D2C; EMPLOYER,WEARABLE_BIOMETRICS,Fitness/recovery category,
Noom Med,METABOLIC_NUTRITION_HEALTH,obesity_glp1; nutrition_care; metabolic_behavior,COACHING_BEHAVIOR_CHANGE; VIRTUAL_CARE,D2C; B2B2C,SELF_LOGGED_BEHAVIOR; LABS_BIOMARKERS,Obesity/weight nuance inside metabolic/nutrition umbrella,
ZOE,METABOLIC_NUTRITION_HEALTH,cgm_glucose_behavior; nutrition_care,COACHING_BEHAVIOR_CHANGE,D2C,CGM; SELF_LOGGED_BEHAVIOR; LABS_BIOMARKERS,Consumer metabolic behavior inside metabolic/nutrition umbrella,
Maven Clinic,WOMENS_FAMILY_HEALTH,fertility_family_building; maternity_postpartum; menopause_midlife; pediatrics_family,VIRTUAL_CARE; CARE_NAVIGATION_SERVICE; BENEFITS_PLATFORM,EMPLOYER; PAYER; B2B2C,PATIENT_REPORTED; CLAIMS,Women/family umbrella,
Midi Health,WOMENS_FAMILY_HEALTH,menopause_midlife,VIRTUAL_CARE,PAYER; B2B2C,PATIENT_REPORTED; EHR_CLINICAL,Women/family umbrella,
Oshi Health,SPECIALTY_CONDITION_CARE,gi_digestive,VIRTUAL_CARE; CARE_NAVIGATION_SERVICE,EMPLOYER; PAYER; B2B2C,PATIENT_REPORTED; CLAIMS,GI is specialty condition care,
OpenEvidence,PROVIDER_INFRASTRUCTURE_AI,clinical_ai_search,AI_CLINICAL_WORKFLOW,HEALTH_SYSTEM; PROVIDER_GROUP,EHR_CLINICAL; PROVIDER_DOCUMENTATION,Provider infrastructure / clinical AI,
Function Health,CONSUMER_HEALTH_OPTIMIZATION,longevity_prevention; consumer_labs_biomarkers,DIAGNOSTIC_TESTING,D2C; EMPLOYER,LABS_BIOMARKERS,Function Health is primarily consumer preventive wellness/longevity via labs and biomarkers. Labs are the data/input layer; the market segment is consumer health optimization.,Human reviewed taxonomy override
InsideTracker,CONSUMER_HEALTH_OPTIMIZATION,longevity_prevention; consumer_labs_biomarkers,DIAGNOSTIC_TESTING; COACHING_BEHAVIOR_CHANGE,D2C,LABS_BIOMARKERS,InsideTracker is primarily consumer preventive wellness/longevity via labs and biomarker-driven recommendations.,Human reviewed taxonomy override
Neko Health,CONSUMER_HEALTH_OPTIMIZATION,longevity_prevention; advanced_screening,DIAGNOSTIC_TESTING; HYBRID_CARE,D2C,LABS_BIOMARKERS; IMAGING; DEVICE_SENSOR,Neko Health is primarily consumer preventive wellness/longevity through advanced screening. Imaging and biomarker inputs are captured separately.,Human reviewed taxonomy override
Levels Health,METABOLIC_NUTRITION_HEALTH,cgm_glucose_behavior,COACHING_BEHAVIOR_CHANGE,D2C,CGM; SELF_LOGGED_BEHAVIOR,"Levels is primarily metabolic behavior change; CGM and D2C are data/distribution details, not the market segment.",Human reviewed taxonomy override
