company,primary_market_segment,subsegment_tags,product_model_tags,distribution_model_tags,rationale
Maven Clinic,WOMENS_FAMILY_HEALTH,fertility_family_building; maternity_postpartum; menopause_midlife; pediatrics_family,VIRTUAL_CARE; CARE_NAVIGATION_SERVICE; BENEFITS_PLATFORM,EMPLOYER; B2B2C,"Women/family umbrella prevents false split between fertility, maternity, and menopause."
Foodsmart,METABOLIC_NUTRITION_HEALTH,food_as_medicine; nutrition_care; obesity_glp1,CARE_NAVIGATION_SERVICE; VIRTUAL_CARE,PAYER; EMPLOYER; B2B2C,Food-as-medicine and obesity support are subsegments under one metabolic/nutrition bucket.
Noom Med,METABOLIC_NUTRITION_HEALTH,obesity_glp1; metabolic_behavior,COACHING_BEHAVIOR_CHANGE; VIRTUAL_CARE,D2C; B2B2C,"Obesity vs behavior loop is nuance, not separate primary segment."
Levels Health,METABOLIC_NUTRITION_HEALTH,cgm_glucose_behavior,COACHING_BEHAVIOR_CHANGE,D2C,"CGM is a data input, not primary market segment."
Cylinder Health,SPECIALTY_CONDITION_CARE,gi_digestive,VIRTUAL_CARE; CARE_NAVIGATION_SERVICE,EMPLOYER; PAYER; B2B2C,GI is specialty condition care.
Rula Health,MENTAL_BEHAVIORAL_HEALTH,therapy_psychiatry,PROVIDER_MARKETPLACE; VIRTUAL_CARE,PAYER; MARKETPLACE,"Provider marketplace is product/operating model, not primary segment."
Equip,MENTAL_BEHAVIORAL_HEALTH,eating_disorder,VIRTUAL_CARE; CARE_NAVIGATION_SERVICE,PAYER; B2B2C,Eating disorder is a mental/behavioral subsegment.
Affect Therapeutics,MENTAL_BEHAVIORAL_HEALTH,substance_use,DIGITAL_THERAPEUTIC; COACHING_BEHAVIOR_CHANGE,PAYER; B2B2C,Substance use rolls up to mental/behavioral health.
Oura,CONSUMER_HEALTH_OPTIMIZATION,sleep; fitness_performance; longevity_prevention,WEARABLE_COMPANION_APP,D2C; B2B2C,Wearable is model/input; category is consumer sleep/recovery/optimization.
Whoop,CONSUMER_HEALTH_OPTIMIZATION,fitness_performance; sleep,WEARABLE_COMPANION_APP,D2C; EMPLOYER,Fitness/recovery category even though sleep tracking exists.
OpenEvidence,PROVIDER_INFRASTRUCTURE_AI,clinical_ai_search,AI_CLINICAL_WORKFLOW,HEALTH_SYSTEM; PROVIDER_GROUP,Provider-facing clinical AI; no patient condition segment.
Function Health,CONSUMER_HEALTH_OPTIMIZATION,longevity_prevention; consumer_labs_biomarkers,DIAGNOSTIC_TESTING,D2C; EMPLOYER,"Consumer preventive wellness/longevity via labs and biomarkers; labs are data/input layer, not the primary market segment."
InsideTracker,CONSUMER_HEALTH_OPTIMIZATION,longevity_prevention; consumer_labs_biomarkers,DIAGNOSTIC_TESTING; COACHING_BEHAVIOR_CHANGE,D2C,Consumer longevity/preventive wellness via labs and biomarker-driven recommendations.
Neko Health,CONSUMER_HEALTH_OPTIMIZATION,longevity_prevention; advanced_screening,DIAGNOSTIC_TESTING; HYBRID_CARE,D2C,Consumer preventive wellness/longevity through advanced screening; imaging/biomarkers are inputs.
